    88|  0.269160|-48.809859| 5.71|  543.3|G|Phe
   122|  0.399379|-77.065294| 4.78|  220.3|M|Oct
   145|  0.455989| -3.027479| 5.13|  407.5|K|Psc
   154|  0.489965| -6.013972| 4.37|  412.7|F|Psc
   171|  0.540188| 27.084489| 5.80|   40.4|B|Peg
   183|  0.582976|-29.720448| 5.04|  509.4|M|Scl
   194|  0.623989|  8.485579| 5.70|  123.0|B|Psc
   301|  0.934885|-17.335970| 4.55|  228.0|F|Cet
   330|  1.056932| 62.287665| 5.90| 3622.2|G|Cas
   355|  1.125510|-10.509494| 4.99| 1630.0|B|Cet
   443|  1.333941| -5.707833| 4.61|  128.3|A|Psc
   476|  1.424732| 13.396282| 5.55|  370.5|K|Peg
   531|  1.610529| 64.196169| 5.57|  987.9|K|Cas
   677|  2.096533| 29.090828| 2.07|   97.0|B|And
   729|  2.259742| 18.212025| 5.57|  291.1|K|Peg
   746|  2.292040| 59.150218| 2.28|   54.4|B|Cas
   761|  2.337586|-27.987904| 5.42|  223.3|K|Scl
   765|  2.352249|-45.746988| 3.88|  139.9|G|Phe
   813|  2.509103| 11.145809| 5.54|  326.0|G|Psc
   814|  2.509454|-82.223997| 5.29|  243.3|G|Oct
   841|  2.580175| 46.072271| 5.01| 1018.8|B|And
   910|  2.816284|-15.467323| 4.89|   61.6|A|Cet
   930|  2.893404|-27.799778| 5.41|  582.1|K|Scl
   950|  2.932867|-35.133396| 5.24|   71.0|G|Scl
  1067|  3.308958| 15.183616| 2.83|  332.7|B|Peg
  1086|  3.378897| 41.035727| 5.71|  114.0|G|And
  1168|  3.650450| 20.206697| 4.79|  326.0|F|Peg
  1170|  3.660136|-18.932686| 4.44|  493.9|F|Cet
  1473|  4.582106| 36.785327| 4.51|  141.1|F|And
  1562|  4.857013| -8.823829| 3.56|  288.5|F|Cet
  1599|  5.007976|-64.877623| 4.23|   28.0|B|Tuc
  1645|  5.149434|  8.190248| 5.38|  392.8|M|Psc
  1647|  5.162679|-69.624912| 5.50|  304.7|F|Tuc
  1686|  5.280108| 37.968700| 5.16|  159.8|K|And
  1708|  5.379901|-28.981295| 5.18|  310.5|M|Scl
  1960|  6.197869| 61.831063| 5.38|  758.1|K|Cas
  2006|  6.350903|  1.939724| 5.77|  592.7|G|Psc
  2021|  6.413342|-77.255035| 2.82|   24.4|B|Hyi
  2072|  6.550484|-43.679909| 3.93|   76.7|A|Phe
  2081|  6.570281|-42.305122| 2.40|   77.4|A|Phe
  2210|  6.982136|-33.007045| 4.86|  543.3|F|Scl
  2219|  7.011852| 17.893075| 5.01|  486.6|K|Psc
  2353|  7.509804| -3.957297| 5.72|  857.9|F|Cet
  2355|  7.530566| 29.751696| 5.20|  185.2|K|And
  2381|  7.594463|-23.787714| 5.17|  180.1|K|Cet
  2472|  7.853567|-48.803562| 4.76|  171.6|B|Phe
  2484|  7.885670|-62.958085| 4.36|  139.3|B|Tuc
  2487|  7.888980|-62.965450| 4.53|  172.5|G|Tuc
  2505|  7.942991| 54.522325| 4.74|  354.3|G|Cas
  2548|  8.098979|  6.955455| 5.69|  262.9|A|Psc
  2568|  8.147503| 20.294433| 5.38|  256.7|K|Psc
  2578|  8.182476|-63.031379| 5.07|  151.6|K|Tuc
  2599|  8.249944| 62.931788| 4.17| 4075.0|M|Cas
  2762|  8.811004| -3.592758| 5.20|   68.6|M|Cet
  2787|  8.886458| -0.505459| 5.94|  181.1|M|Cet
  2802|  8.921395|-48.000660| 5.51|  118.1|A|Phe
  2903|  9.197132| 15.231760| 5.89|  857.9|B|Psc
  2912|  9.220162| 33.719352| 4.34|  652.0|A|And
  2920|  9.242779| 53.896932| 3.69|  592.7|F|Cas
  2942|  9.338442| 35.399510| 5.45| 1018.8|A|And
  3031|  9.639580| 29.312369| 4.34|  168.9|B|And
  3092|  9.831656| 30.861226| 3.27|  101.2|A|And
  3093|  9.842061| 21.251374| 5.88|   36.2|K|Psc
  3138|  9.981475| 21.438564| 5.36|  412.7|B|Psc
  3179| 10.126613| 56.537409| 2.24|  228.0|B|Cas
  3231| 10.279981| 39.458671| 5.30|  343.2|K|And
  3245| 10.331567|-46.085009| 4.59|  247.0|A|Phe
  3277| 10.442925|-56.501455| 5.72|  213.1|B|Phe
  3300| 10.516184| 50.512542| 4.80| 1124.1|K|Cas
  3330| 10.617905|-65.468130| 5.38|  132.5|K|Tuc
  3405| 10.838517|-57.463098| 4.36|  239.7|F|Phe
